5.1.6 服务器状态变量参考_MySQL 8.0 参考手册 Skip to Main Content
Documentation Home
MySQL 8.0 参考手册
MySQL 8.0 参考手册 / 第 5 章 MySQL 服务器管理 / 5.1 MySQL 服务器 / 
5.1.6 服务器状态变量参考
5.1.6 服务器状态变量参考
下表列出了适用于 的所有状态变量 mysqld 。
该表列出了每个变量的数据类型和范围。最后一列指示每个变量的作用域是全局、会话还是两者。设置和使用变量的详细信息请参见相应的项目说明。在适当的情况下，提供了指向有关这些项目的更多信息的直接链接。
表 5.3 状态变量汇总
变量的名称 变量类型 可变范围
Aborted_clients 整数 全球的
中止连接 整数 全球的
acl_cache_items_count 整数 全球的
Audit_log_current_size 整数 全球的
Audit_log_event_max_drop_size 整数 全球的
审计日志事件 整数 全球的
Audit_log_events_filtered 整数 全球的
Audit_log_events_lost 整数 全球的
Audit_log_events_written 整数 全球的
Audit_log_total_size 整数 全球的
Audit_log_write_waits 整数 全球的
Authentication_ldap_sasl_supported_methods 细绳 全球的
Binlog_cache_disk_use 整数 全球的
Binlog_cache_use 整数 全球的
Binlog_stmt_cache_disk_use 整数 全球的
Binlog_stmt_cache_use 整数 全球的
Bytes_received 整数 两个都
字节发送 整数 两个都
缓存_sha2_password_rsa_public_key 细绳 全球的
Com_admin_commands 整数 两个都
Com_alter_db 整数 两个都
Com_alter_event 整数 两个都
Com_alter_function 整数 两个都
Com_alter_procedure 整数 两个都
Com_alter_resource_group 整数 全球的
Com_alter_server 整数 两个都
Com_alter_table 整数 两个都
Com_alter_tablespace 整数 两个都
Com_alter_user 整数 两个都
Com_alter_user_default_role 整数 全球的
Com_analyze 整数 两个都
Com_assign_to_keycache 整数 两个都
Com_begin 整数 两个都
Com_binlog 整数 两个都
Com_call_procedure 整数 两个都
com_change_db 整数 两个都
com_change_master 整数 两个都
Com_change_repl_filter 整数 两个都
Com_change_replication_source 整数 两个都
com_check 整数 两个都
Com_校验和 整数 两个都
Com_clone 整数 全球的
com_commit 整数 两个都
com_create_db 整数 两个都
Com_create_event 事件 整数 两个都
com_create_function 整数 两个都
com_create_index 整数 两个都
Com_create_procedure 整数 两个都
Com_create_resource_group 整数 全球的
Com_create_role 整数 全球的
Com_create_server 整数 两个都
com_create_table 整数 两个都
Com_create_trigger 整数 两个都
com_create_udf 整数 两个都
com_create_user 整数 两个都
Com_create_view 整数 两个都
com_dealloc_sql 整数 两个都
com_delete 整数 两个都
Com_delete_multi 整数 两个都
com_do 整数 两个都
Com_drop_db 整数 两个都
Com_drop_event 整数 两个都
Com_drop_function 整数 两个都
Com_drop_index 整数 两个都
Com_drop_procedure 整数 两个都
Com_drop_resource_group 整数 全球的
Com_drop_role 整数 全球的
Com_drop_server 整数 两个都
Com_drop_table 整数 两个都
Com_drop_trigger 整数 两个都
Com_drop_user 整数 两个都
Com_drop_view 整数 两个都
Com_empty_query 整数 两个都
com_execute_sql 整数 两个都
Com_explain_other 整数 两个都
Com_flush 整数 两个都
Com_get_diagnostics 整数 两个都
com_grant 整数 两个都
Com_grant_roles 整数 全球的
Com_group_replication_start 整数 全球的
Com_group_replication_stop 整数 全球的
Com_ha_close 整数 两个都
Com_ha_open 整数 两个都
com_ha_read 整数 两个都
com_help 整数 两个都
Com_insert 整数 两个都
Com_insert_select 整数 两个都
Com_install_component 整数 全球的
com_install_plugin 整数 两个都
Com_kill 整数 两个都
com_load 整数 两个都
Com_lock_tables 整数 两个都
Com_optimize 整数 两个都
Com_preload_keys 整数 两个都
Com_prepare_sql 整数 两个都
Com_purge 整数 两个都
Com_purge_before_date 整数 两个都
Com_release_savepoint 整数 两个都
Com_rename_table 整数 两个都
Com_rename_user 整数 两个都
Com_repair 整数 两个都
Com_replace 整数 两个都
Com_replace_select 整数 两个都
Com_replica_start 整数 两个都
Com_replica_stop 整数 两个都
Com_reset 整数 两个都
Com_resignal 整数 两个都
Com_restart 整数 两个都
Com_revoke 整数 两个都
Com_revoke_all 整数 两个都
Com_revoke_roles 整数 全球的
Com_rollback 整数 两个都
Com_rollback_to_savepoint 整数 两个都
Com_保存点 整数 两个都
com_select 整数 两个都
Com_set_option 整数 两个都
Com_set_resource_group 整数 全球的
Com_set_role 整数 全球的
Com_show_authors 整数 两个都
com_show_binlog_events 整数 两个都
com_show_binlogs 整数 两个都
Com_show_charsets 整数 两个都
Com_show_collat​​ions 整数 两个都
Com_show_contributors 整数 两个都
Com_show_create_db 整数 两个都
Com_show_create_event 整数 两个都
Com_show_create_func 整数 两个都
