5.1.5 服务器系统变量引用_MySQL 8.0 参考手册 Skip to Main Content
Documentation Home
MySQL 8.0 参考手册
MySQL 8.0 参考手册 / 第 5 章 MySQL 服务器管理 / 5.1 MySQL 服务器 / 
5.1.5 服务器系统变量引用
5.1.5 服务器系统变量引用
下表列出了适用于 mysqld .
该表在一个统一列表中列出命令行选项 (Cmd-line)、配置文件中有效的选项 (Option file)、服务器系统变量 (System Var) 和状态变量 (Status var)，并指示每个选项的位置或变量有效。如果在命令行或选项文件中设置的服务器选项与相应系统变量的名称不同，则会在相应选项的正下方注明变量名称。变量的范围 (Var Scope) 是 Global、Session 或两者兼而有之。设置和使用变量的详细信息请参见相应的项目说明。在适当的情况下，提供了指向有关这些项目的更多信息的直接链接。
表 5.2 系统变量汇总
姓名 命令行 选项文件 系统变量 可变范围 动态的
activate_all_roles_on_login 是的 是的 是的 全球的 是的
管理员地址 是的 是的 是的 全球的 不
管理端口 是的 是的 是的 全球的 不
admin_ssl_ca 是的 是的 是的 全球的 是的
admin_ssl_capath 是的 是的 是的 全球的 是的
admin_ssl_cert 是的 是的 是的 全球的 是的
admin_ssl_cipher 是的 是的 是的 全球的 是的
admin_ssl_crl 是的 是的 是的 全球的 是的
admin_ssl_crlpath 是的 是的 是的 全球的 是的
admin_ssl_key 是的 是的 是的 全球的 是的
admin_tls_ciphersuites 是的 是的 是的 全球的 是的
admin_tls_version 是的 是的 是的 全球的 是的
audit_log_buffer_size 是的 是的 是的 全球的 不
审计日志压缩 是的 是的 是的 全球的 不
audit_log_connection_policy 是的 是的 是的 全球的 是的
audit_log_current_session 是的 两个都 不
audit_log_disable 是的 是的 是的 全球的 是的
审计日志加密 是的 是的 是的 全球的 不
audit_log_exclude_accounts 是的 是的 是的 全球的 是的
审计日志文件 是的 是的 是的 全球的 不
audit_log_filter_id 是的 两个都 不
audit_log_flush 是的 全球的 是的
审计日志格式 是的 是的 是的 全球的 不
audit_log_format_unix_timestamp 是的 是的 是的 全球的 是的
audit_log_include_accounts 是的 是的 是的 全球的 是的
audit_log_max_size 是的 是的 是的 全球的 是的
audit_log_password_history_keep_days 是的 是的 是的 全球的 是的
audit_log_policy 是的 是的 是的 全球的 不
audit_log_prune_seconds 是的 是的 是的 全球的 是的
audit_log_read_buffer_size 是的 是的 是的 变化 变化
audit_log_rotate_on_size 是的 是的 是的 全球的 是的
audit_log_statement_policy 是的 是的 是的 全球的 是的
审计日志策略 是的 是的 是的 全球的 不
authentication_fido_rp_id 是的 是的 是的 全球的 是的
authentication_kerberos_service_key_tab 是的 是的 是的 全球的 不
authentication_kerberos_service_principal 是的 是的 是的 全球的 是的
authentication_ldap_sasl_auth_method_name 是的 是的 是的 全球的 是的
authentication_ldap_sasl_bind_base_dn 是的 是的 是的 全球的 是的
authentication_ldap_sasl_bind_root_dn 是的 是的 是的 全球的 是的
authentication_ldap_sasl_bind_root_pwd 是的 是的 是的 全球的 是的
authentication_ldap_sasl_ca_path 是的 是的 是的 全球的 是的
authentication_ldap_sasl_group_search_attr 是的 是的 是的 全球的 是的
authentication_ldap_sasl_group_search_filter 是的 是的 是的 全球的 是的
authentication_ldap_sasl_init_pool_size 是的 是的 是的 全球的 是的
authentication_ldap_sasl_log_status 是的 是的 是的 全球的 是的
authentication_ldap_sasl_max_pool_size 是的 是的 是的 全球的 是的
authentication_ldap_sasl_referral 是的 是的 是的 全球的 是的
